"Molecule
","Market
","Manufacturer
","Product
","Molecule Combination Type
","Launch Year
","Corporation
","MIDAS Corporation
","Strength
","ATC1
","ATC2
","ATC4
","ATC3
","Pack
","Launch Date
","Retail Price
","NFC1
","NFC3
","NFC2
","2025
LC Value","2025
Units","2024
LC Value","2024
Units","2023
LC Value","2023
Units","2022
LC Value","2022
Units","2021
LC Value","2021
Units","2020
LC Value","2020
Units"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
B-CROBES
","
HEXBIO
","
COMBI
","
2011
","
B-CROBES
","
BCROBES
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
GRAN.PWD. 10 3 G
","
201111
","
45.00
","
A ORAL SOLID ORDINARY
","
AEP ORAL S ORD UNIT DOSE POWDERS
","
AE ORAL S ORD PWDRS/GRNLS
","1,779,525","39,545","3,598,470","79,966","3,509,865","77,997","3,610,890","80,242","2,357,640","52,392","766,260","17,028"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
B-CROBES
","
HEXBIO
","
COMBI
","
2024
","
B-CROBES
","
BCROBES
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
SC GN OS 45 3 G
","
202405
","
180.00
","
A ORAL SOLID ORDINARY
","
AEP ORAL S ORD UNIT DOSE POWDERS
","
AE ORAL S ORD PWDRS/GRNLS
","14,940",83,"28,080",156,,,,,,,,
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
BIFODAN
","
PROFLORA KIDS
","
COMBI
","
2014
","
BIFODAN
","
BIFODAN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CHEW. TABS 30
","
201405
","
110.00
","
A ORAL SOLID ORDINARY
","
AAG ORAL S ORD CHEWABLE TABLETS
","
AA ORAL S ORD TABLETS
",,,"161,920","1,472","685,520","6,232","751,960","6,836","586,498","5,210","302,258","2,498"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
BIFODAN
","
PROFLORA RESTORE
","
COMBI
","
2017
","
BIFODAN
","
BIFODAN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 30
","
201704
","
115.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","1,495",13,"19,780",172,"1,559,630","13,562","1,866,565","16,231","1,873,810","16,294","1,022,350","8,890"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
BIOCARE
","
PROFLORA DAILY
","
COMBI
","
2017
","
BIOCARE
","
BIOCARE INT
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS VEGETAR 30
","
201708
","
125.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","403,875","3,231","983,250","7,866","815,125","6,521","1,218,250","9,746","1,534,250","12,274","579,875","4,639"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
BIOCARE
","
PROFLORA INTENSE
","
COMBI
","
2020
","
BIOCARE
","
BIOCARE INT
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
SACHET POWD 30 1 G
","
202010
","
185.00
","
D ORAL LIQUID ORDINARY
","
DEP ORAL L ORD UNIT DOSE POWDERS
","
DE ORAL L ORD PWDRS/GRNLS
","196,655","1,063","450,290","2,434","465,275","2,515","386,465","2,089","357,605","1,933",,
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
BIOCARE
","
PROFLORA RESTORE P
","
COMBI
","
2020
","
BIOCARE
","
BIOCARE INT
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
SACHET POWD 30 1 G
","
202002
","
185.00
","
D ORAL LIQUID ORDINARY
","
DEP ORAL L ORD UNIT DOSE POWDERS
","
DE ORAL L ORD PWDRS/GRNLS
",,,,,,,"7,585",41,"284,570","1,413","70,584",304
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
BIOCARE
","
PROFLORA RESTORE P
","
COMBI
","
2020
","
BIOCARE
","
BIOCARE INT
","
0580MG
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CHEW. TABS 580 MG 30
","
202002
","
185.00
","
A ORAL SOLID ORDINARY
","
AAG ORAL S ORD CHEWABLE TABLETS
","
AA ORAL S ORD TABLETS
","895,215","4,839","1,814,295","9,807","910,755","4,923","892,255","4,823","835,886","4,338","287,671","1,239"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
CACHET PHARM
","
ACTILOSA
","
COMBI
","
2013
","
CACHET PHARM
","
CACHET
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 30
","
201307
","
55.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","411,070","7,474","332,255","6,041","92,730","1,686","15,565",283,"88,000","1,600","6,875",125
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
CACHET PHARM
","
ACTILOSA
","
COMBI
","
2017
","
CACHET PHARM
","
CACHET
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
SYRUP DRY 1 30 ML
","
201709
","
24.00
","
D ORAL LIQUID ORDINARY
","
DGJ ORAL L ORD DRY SUSP/SYR/DROPS
","
DG ORAL L ORD LIQUIDS
","40,848","1,702","38,304","1,596","4,344",181,"4,680",195,"34,728","1,447",,
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NOW INTERNATIONAL
","
ACIDOPHILUS 4X6
","
COMBI
","
2011
","
NOW INTERNATIONAL*
","
NOW FOODS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 60
","
201111
","
89.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,712,8,"49,751",559,"100,748","1,132","127,359","1,431","50,285",565
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NOW INTERNATIONAL
","
PROBIOTIC-10
","
COMBI
","
2020
","
NOW INTERNATIONAL*
","
NOW FOODS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
V.CAP 100BIL 30
","
202005
","
275.24
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","206,431",750,"386,713","1,405","225,973",821,"251,018",912,"278,819","1,013","42,112",153
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NOW INTERNATIONAL
","
PROBIOTIC-10
","
COMBI
","
2021
","
NOW INTERNATIONAL*
","
NOW FOODS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
V.CAP 25BIL 100
","
202108
","
265.71
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,"49,156",185,"37,466",141,"10,628",40,,
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NOW INTERNATIONAL
","
PROBIOTIC-10 NF
","
COMBI
","
2013
","
NOW INTERNATIONAL*
","
NOW FOODS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 25BILLI 50
","
201301
","
179.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","802,457","4,483","1,198,969","6,991","860,886","5,094","863,928","5,112","1,120,470","6,630","531,167","3,143"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NOW INTERNATIONAL
","
PROBIOTIC-10 NF
","
COMBI
","
2015
","
NOW INTERNATIONAL*
","
NOW FOODS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
POWD. SACHET 24 3 G
","
201504
","
144.00
","
D ORAL LIQUID ORDINARY
","
DEP ORAL L ORD UNIT DOSE POWDERS
","
DE ORAL L ORD PWDRS/GRNLS
",,,,,,,,,"74,592",518,"58,608",407
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NUTRA-LIFE HE&FI
","
PROBIOTICA P3 30
","
COMBI
","
2012
","
NUTRA-LIFE HE&FI
","
NUTRA-LIFE
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 150
","
201204
","
160.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,,,800,5,"145,760",911,"148,320",927
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NUTRA-LIFE HE&FI
","
PROBIOTICA P3 30
","
COMBI
","
2018
","
NUTRA-LIFE HE&FI
","
NUTRA-LIFE
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 14
","
201806
","
89.31
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,,,"3,215",36,,,,
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
NUTRILINEA
","
ALFLOREX
","
MONO
","
2021
","
NUTRILINEA
","
NUTRILINEA
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 30
","
202107
","
169.05
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","459,310","2,717","469,791","2,779","483,315","2,859","60,181",356,"84,018",497,,
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
PROTEXIN
","
BIO-KULT
","
COMBI
","
2015
","
PROTEXIN
","
PROTEXIN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 30
","
201506
","
85.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,"2,295",27,,,,,,
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
PROTEXIN
","
BIO-KULT ADVANCE
","
COMBI
","
2016
","
PROTEXIN
","
PROTEXIN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 60
","
201611
","
130.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,"7,800",60,"44,070",339,"56,290",433,"8,970",69
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
PROTEXIN
","
BIO-KULT ADVANCE
","
COMBI
","
2020
","
PROTEXIN
","
PROTEXIN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 30
","
202001
","
85.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,"159,715","1,879","518,670","6,102","735,845","8,657","349,605","4,113"
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
PROTEXIN
","
BIO-KULT CANDEA
","
COMBI
","
2015
","
PROTEXIN
","
PROTEXIN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 60
","
201506
","
130.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,,,"26,910",207,"62,140",478,"40,170",309
"
BIFIDOBACTERIUM LONGUM
","
PRIVATE MARKET
","
PROTEXIN
","
BIO-KULT MIGREA
","
COMBI
","
2021
","
PROTEXIN
","
PROTEXIN
","
0000
","
V0 VARIOUS
","
V03 OTHER THERAPEUTIC PRODS
","
V03X0 ALL OTH.THERAPEUTIC PRDS
","
V03X ALL OTH.THERAPEUTIC PRDS
","
CAPS 60
","
202105
","
130.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,"18,980",146,"49,530",381,"58,760",452,,
"
BILASTINE
","
LPO
","
JAZEERA PHARM IND.
","
BILAXTEN
","
MONO
","
2016
","
HIKMA PLC
","
HIKMA PHARMA
","
0020MG
","
R0 RESPIRATORY SYSTEM
","
R06 ANTIHISTAMINES SYSTEMIC
","
R06A0 ANTIHISTAMINES SYSTEMIC
","
R06A ANTIHISTAMINES SYSTEMIC
","
TABS 20 MG 20
","
201610
","
32.00
","
A ORAL SOLID ORDINARY
","
AAA ORAL S ORD TABLETS
","
AA ORAL S ORD TABLETS
","4,480",140,,,,,,,,,,
"
BILASTINE
","
LPO
","
JAZEERA PHARM IND.
","
BILAXTEN
","
MONO
","
2024
","
HIKMA PLC
","
HIKMA PHARMA
","
0010MG
","
R0 RESPIRATORY SYSTEM
","
R06 ANTIHISTAMINES SYSTEMIC
","
R06A0 ANTIHISTAMINES SYSTEMIC
","
R06A ANTIHISTAMINES SYSTEMIC
","
ORODISP. TAB 10 MG 30
","
202401
","
27.00
","
A ORAL SOLID ORDINARY
","
AAB ORAL DISINTEGRATING TABS
","
AA ORAL S ORD TABLETS
",54,2,,,,,,,,,,
"
BILASTINE
","
LPO
","
JAZEERA PHARM IND.
","
BILAXTEN
","
MONO
","
2024
","
HIKMA PLC
","
HIKMA PHARMA
","
2.50MG
","
R0 RESPIRATORY SYSTEM
","
R06 ANTIHISTAMINES SYSTEMIC
","
R06A0 ANTIHISTAMINES SYSTEMIC
","
R06A ANTIHISTAMINES SYSTEMIC
","
ORAL SOLUT. 2.50 MG /ML 1 120 ML
","
202401
","
27.00
","
D ORAL LIQUID ORDINARY
","
DGA ORAL L ORD LIQUIDS
","
DG ORAL L ORD LIQUIDS
",54,2,,,,,,,,,,
"
BILASTINE
","
PRIVATE MARKET
","
JAZEERA PHARM IND.
","
BILAXTEN
","
MONO
","
2016
","
HIKMA PLC
","
HIKMA PHARMA
","
0020MG
","
R0 RESPIRATORY SYSTEM
","
R06 ANTIHISTAMINES SYSTEMIC
","
R06A0 ANTIHISTAMINES SYSTEMIC
","
R06A ANTIHISTAMINES SYSTEMIC
","
TABS 20 MG 20
","
201610
","
32.00
","
A ORAL SOLID ORDINARY
","
AAA ORAL S ORD TABLETS
","
AA ORAL S ORD TABLETS
","2,107,584","65,862","3,328,928","104,029","3,082,944","96,342","1,980,832","61,901","2,092,704","65,397","716,160","22,380"
"
BILASTINE
","
PRIVATE MARKET
","
JAZEERA PHARM IND.
","
BILAXTEN
","
MONO
","
2024
","
HIKMA PLC
","
HIKMA PHARMA
","
0010MG
","
R0 RESPIRATORY SYSTEM
","
R06 ANTIHISTAMINES SYSTEMIC
","
R06A0 ANTIHISTAMINES SYSTEMIC
","
R06A ANTIHISTAMINES SYSTEMIC
","
ORODISP. TAB 10 MG 30
","
202401
","
27.00
","
A ORAL SOLID ORDINARY
","
AAB ORAL DISINTEGRATING TABS
","
AA ORAL S ORD TABLETS
","45,684","1,692","58,212","2,156",,,,,,,,
"
BILASTINE
","
PRIVATE MARKET
","
JAZEERA PHARM IND.
","
BILAXTEN
","
MONO
","
2024
","
HIKMA PLC
","
HIKMA PHARMA
","
2.50MG
","
R0 RESPIRATORY SYSTEM
","
R06 ANTIHISTAMINES SYSTEMIC
","
R06A0 ANTIHISTAMINES SYSTEMIC
","
R06A ANTIHISTAMINES SYSTEMIC
","
ORAL SOLUT. 2.50 MG /ML 1 120 ML
","
202401
","
27.00
","
D ORAL LIQUID ORDINARY
","
DGA ORAL L ORD LIQUIDS
","
DG ORAL L ORD LIQUIDS
","50,166","1,858","116,154","4,302",,,,,,,,
"
BIMATOPROST
","
LPO
","
ALLERGAN
","
GANFORT
","
COMBI
","
2011
","
ALLERGAN
","
ABBVIE
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01E2 MIOTICS+ANTIGLAUCOMA TOP
","
S01E MIOTICS+ANTIGLAUCOMA PREP
","
EYE DROPS 1 3 ML
","
201104
","
114.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
","211,024","1,843","418,498","3,655","412,200","3,600","226,710","1,980","219,840","1,920","49,235",430
"
BIMATOPROST
","
LPO
","
ALLERGAN
","
LUMIGAN
","
MONO
","
2016
","
ALLERGAN
","
ABBVIE
","
0.01%
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01E2 MIOTICS+ANTIGLAUCOMA TOP
","
S01E MIOTICS+ANTIGLAUCOMA PREP
","
EYE DROPS .01 % 1 3 ML
","
201611
","
88.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
","11,859",134,,,,,,,,,,
"
BIMATOPROST
","
PRIVATE MARKET
","
ALLERGAN
","
GANFORT
","
COMBI
","
2011
","
ALLERGAN
","
ABBVIE
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01E2 MIOTICS+ANTIGLAUCOMA TOP
","
S01E MIOTICS+ANTIGLAUCOMA PREP
","
EYE DROPS 1 3 ML
","
201104
","
114.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
","659,636","5,761","1,586,630","13,857","2,100,963","18,349","1,833,606","16,014","1,889,940","16,506","882,454","7,707"
"
BIMATOPROST
","
PRIVATE MARKET
","
ALLERGAN
","
LUMIGAN
","
MONO
","
2016
","
ALLERGAN
","
ABBVIE
","
0.01%
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01E2 MIOTICS+ANTIGLAUCOMA TOP
","
S01E MIOTICS+ANTIGLAUCOMA PREP
","
EYE DROPS .01 % 1 3 ML
","
201611
","
88.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
","424,803","4,800","1,005,452","11,361","1,371,931","15,502","1,483,174","16,759","1,355,734","15,319","762,252","8,613"
"
BIMEKIZUMAB
","
LPO
","
U.C.B.
","
BIMZELX
","
MONO
","
2023
","
GLAXOSMITHKLINE
","
UCB
","
0160MG
","
D0 DERMATOLOGICALS
","
D05 NON-STER PRD INFLAM SKIN
","
D05B0 SYST ANTIPSORIASIS PRDS
","
D05B SYST ANTIPSORIASIS PRDS
","
PREFIL.PEN 160 MG 2 1 ML
","
202306
","
9701.00
","
F PARENTERAL ORDINARY
","
FNH PAR ORD PREFIL AUTOINJEC
","
FN P ORD PRE-FILLED SYRINGS
","426,844",44,"562,658",58,"48,505",5,,,,,,
"
BIMEKIZUMAB
","
PRIVATE MARKET
","
U.C.B.
","
BIMZELX
","
MONO
","
2023
","
GLAXOSMITHKLINE
","
UCB
","
0160MG
","
D0 DERMATOLOGICALS
","
D05 NON-STER PRD INFLAM SKIN
","
D05B0 SYST ANTIPSORIASIS PRDS
","
D05B SYST ANTIPSORIASIS PRDS
","
PREFIL.PEN 160 MG 2 1 ML
","
202306
","
9701.00
","
F PARENTERAL ORDINARY
","
FNH PAR ORD PREFIL AUTOINJEC
","
FN P ORD PRE-FILLED SYRINGS
","6,654,886",686,"6,334,753",653,"853,688",88,,,,,,
"
BINIMETINIB
","
LPO
","
PFIZER
","
MEKTOVI
","
MONO
","
2024
","
PFIZER*
","
PFIZER
","
0015MG
","
L0 ANTINEOPLAST+IMMUNOMODUL
","
L01 ANTINEOPLASTICS
","
L01H4 PKI A-NEOPLAST BRAF/MEK
","
L01H PROTEIN KINASE INH A-NEO
","
F.C. TABS 15 MG 84
","
202401
","
8650.50
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","173,011",20,"432,526",50,,,,,,,,
"
BINIMETINIB
","
PRIVATE MARKET
","
PFIZER
","
MEKTOVI
","
MONO
","
2024
","
PFIZER*
","
PFIZER
","
0015MG
","
L0 ANTINEOPLAST+IMMUNOMODUL
","
L01 ANTINEOPLASTICS
","
L01H4 PKI A-NEOPLAST BRAF/MEK
","
L01H PROTEIN KINASE INH A-NEO
","
F.C. TABS 15 MG 84
","
202401
","
8650.50
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","121,107",14,"285,469",33,,,,,,,,
"
BIOFLAVONOIDS
","
LPO
","
VITABIOTICS
","
IMMUNACE
","
COMBI
","
2011
","
VITABIOTICS*
","
VITABIOTICS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A11 VITAMINS
","
A11A4 MVIT + MIN OTHERS
","
A11A MULTIVITAMINS + MINERALS
","
TABS 30
","
201111
","
59.00
","
A ORAL SOLID ORDINARY
","
AAA ORAL S ORD TABLETS
","
AA ORAL S ORD TABLETS
",,,,,,,"6,240",120,"12,480",240,,
"
BIOFLAVONOIDS
","
LPO
","
VITABIOTICS
","
WELLKID IMMUNE
","
COMBI
","
2017
","
VITABIOTICS*
","
VITABIOTICS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A11 VITAMINS
","
A11A2 MVIT + MIN PAEDIATRIC
","
A11A MULTIVITAMINS + MINERALS
","
CHEW. TABS 30
","
201705
","
62.00
","
A ORAL SOLID ORDINARY
","
AAG ORAL S ORD CHEWABLE TABLETS
","
AA ORAL S ORD TABLETS
","1,116",18,,,,,,,,,,
"
BIOFLAVONOIDS
","
LPO
","
VITABIOTICS
","
WELLWOMAN
","
COMBI
","
2005
","
VITABIOTICS*
","
VITABIOTICS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A11 VITAMINS
","
A11A4 MVIT + MIN OTHERS
","
A11A MULTIVITAMINS + MINERALS
","
CAPS 30
","
200510
","
69.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,"1,430",22,,,,,,,,
"
BIOFLAVONOIDS
","
PRIVATE MARKET
","
AMS
","
AMS EYECAPS
","
COMBI
","
2020
","
AMS*
","
AMS
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01M0 EYE TONICS&EYE VITAMINS
","
S01M EYE TONICS&EYE VITAMINS
","
COATD CAPLET 30
","
202008
","
138.60
","
A ORAL SOLID ORDINARY
","
ABA ORAL S ORD COATED TABLETS
","
AB ORAL S ORD COATED TABLETS
",,,,,,,,,"3,326",24,"36,036",260
"
BIOFLAVONOIDS
","
PRIVATE MARKET
","
AMS
","
MENS MULTI-NRG
","
COMBI
","
2021
","
AMS*
","
AMS
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A11 VITAMINS
","
A11A4 MVIT + MIN OTHERS
","
A11A MULTIVITAMINS + MINERALS
","
COATD CAPLET 45
","
202105
","
257.81
","
A ORAL SOLID ORDINARY
","
ABA ORAL S ORD COATED TABLETS
","
AB ORAL S ORD COATED TABLETS
","720,321","2,794","1,027,890","3,987","930,953","3,611","467,152","1,812","272,248","1,056",,
"
BIOFLAVONOIDS
","
PRIVATE MARKET
","
BIOTA LABORATORIES
","
BIOXSINE
","
COMBI
","
2013
","
BIOTA LABORATORIES
","
BIOTA
","
0000
","
D0 DERMATOLOGICALS
","
D11 OTHER DERMATOLOGICAL PREP
","
D11A0 OTHER DERMATOLOGICAL PREP
","
D11A OTHER DERMATOLOGICAL PREP
","
SERUM 24 6 ML
","
201312
","
360.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGN TOP EXT UNIT DOSE LIQUIDS
","
MG TOP EXT LIQUIDS
",,,,,,,,,,,"23,040",64
"
BIOFLAVONOIDS
","
PRIVATE MARKET
","
HERMES
","
CEVITT
","
COMBI
","
2018
","
HERMES*
","
HERMES
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A11 VITAMINS
","
A11G2 VITAMIN C COMBINATIONS
","
A11G VIT C INC.MINERAL COMBS
","
SACHET POWD 20 1.30 G
","
201806
","
49.00
","
A ORAL SOLID ORDINARY
","
AEP ORAL S ORD UNIT DOSE POWDERS
","
AE ORAL S ORD PWDRS/GRNLS
","17,591",359,,,,,"1,372",28,"2,891",59,"19,943",407
"
BIOFLAVONOIDS
","
PRIVATE MARKET
","
KORDEL S ADV.NUTRI
","
JOINT FOOD MATRIX
","
COMBI
","
2012
","
KORDEL S ADV.NUTRI
","
KORDEL
","
0000
","
M0 MUSCULO-SKELETAL SYSTEM
","
M05 OTHER MUSCULO-SKELETAL
","
M05X0 OTH MUSCULO-SKELETAL PRDS
","
M05X OTH MUSCULO-SKELETAL PRDS
","
TABS 60
","
201206
","
186.00
","
A ORAL SOLID ORDINARY
","
AAA ORAL S ORD TABLETS
","
AA ORAL S ORD TABLETS
",,,,,,,,,,,"6,138",33
