"Molecule
","Market
","Manufacturer
","Product
","Molecule Combination Type
","Launch Year
","Corporation
","MIDAS Corporation
","Strength
","ATC1
","ATC2
","ATC4
","ATC3
","Pack
","Launch Date
","Retail Price
","NFC1
","NFC3
","NFC2
","2025
LC Value","2025
Units","2024
LC Value","2024
Units","2023
LC Value","2023
Units","2022
LC Value","2022
Units","2021
LC Value","2021
Units","2020
LC Value","2020
Units"
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
EGO PHARM
","
QV
","
COMBI
","
2015
","
EGO PHARM*
","
EGO
","
0000
","
D0 DERMATOLOGICALS
","
D02 EMOLLIENTS & PROTECTIVES
","
D02A0 EMOLLIENTS & PROTECTIVES
","
D02A EMOLLIENTS & PROTECTIVES
","
SKIN LTN 1 500 ML
","
201504
","
109.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGS TOP EXT LOTIONS
","
MG TOP EXT LIQUIDS
","1,417",13,,,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
NAPP LABS
","
BETADINE
","
COMBI
","
2023
","
MUNDIPHARMA*
","
MUNDIPHARMA INT
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZ HON&LEMO 24
","
202301
","
21.48
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",129,6,,,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
NAPP LABS
","
BETADINE
","
COMBI
","
2023
","
MUNDIPHARMA*
","
MUNDIPHARMA INT
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZ MEN&EUC 24
","
202301
","
21.15
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",127,6,,,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
0000
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZ LEM/HONE 24
","
UNKNOWN
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,168,10,402,24,804,48,"1,005",60,469,28
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
0000
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS MENTHOL 24
","
UNKNOWN
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,168,10,402,24,"1,005",60,402,24,402,24
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
1999
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS S/F ASS 16
","
199906
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,168,10,201,12,402,24,402,24,201,12
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS
","
COMBI
","
2011
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS COOL 16
","
201109
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,168,10,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS C
","
COMBI
","
1986
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 24
","
198601
","
16.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","1,442",86,"12,898",770,"10,419",622,,,804,48,436,26
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS ME H&L
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
201705
","
27.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,"1,277",46,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS ME LEMSF
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
201705
","
27.75
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,"1,693",61,,,,,,,,
